Folder, Number of Cells, Cell Area, Net Area, Total Area, Highest Timing Value, Start-point, End-point, Leakage Power, Dynamic Power, Total Power
COMP_4n, 25, 1994, 800, 2795, 2277, s_mult[8], y[7], 19.795, 249664.903, 249684.697
COMP_8n, 63, 4855, 1799, 6653, 3554, s_mult[32], y[10], 48.186, 889680.202, 889728.389
COMP_12n, 94, 7549, 2713, 10262, 3623, s_mult[9], y[11], 75.319, 1228142.901, 1228218.220
COMP_16n, 132, 10597, 3756, 14353, 4472, s_mult[8], y[12], 104.868, 2575729.630, 2575834.498
COMP_20n, 166, 13536, 4758, 18294, 4273, s_mult[32], y[12], 133.767, 3571365.064, 3571498.831
Operator_4n, 52, 4049, 1582, 5631, 4081, s_mult[33], y[15], 40.840, 529236.775, 529277.615
Operator_8n, 118, 9367, 3430, 12797, 4355, s_mult[49], y[15], 94.299, 1676863.312, 1676957.611
Operator_12n, 182, 14635, 5250, 19885, 4611, s_mult[64], y[15], 147.354, 3136030.839, 3136178.193
Operator_16n, 248, 19952, 7099, 27051, 4778, s_mult[113], y[15], 200.934, 4909787.292, 4909988.226
Operator_20n, 310, 25172, 8889, 34061, 4864, s_mult[129], y[15], 253.222, 6419350.835, 6419604.058
