Folder, Number of Cells, Cell Area, Net Area, Total Area, Highest Timing Value, Start-point, End-point, Leakage Power, Internal Power, Switching Power, Total Power
Compressao_arvore_somas_unsigned_CSA, , , , , 4393, s_mult[16], , ,, , 
Compressao_arvore_somas_unsigned_CSA, , , , , 5529, s_mult[16], , ,, , 
Compressao_arvore_somas_unsigned_CSA, , , , , 5598, s_mult[17], , ,, , 
Compressao_arvore_somas_unsigned_CSA, , , , , 6237, s_mult[16], , ,, , 
Compressao_arvore_somas_unsigned_CSA, , , , , 6248, s_mult[64], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 3446, s_mult[13], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 3967, s_mult[37], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 4437, s_mult[72], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 4637, s_mult[85], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 5096, s_mult[157], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 4434, s_mult[17], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 4955, s_mult[49], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 5425, s_mult[96], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 5625, s_mult[161], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 6084, s_mult[241], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 5421, s_mult[21], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 5942, s_mult[61], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 6412, s_mult[120], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 6640, s_mult[201], , ,, , 
Operador_arvore_somas_unsigned_NO_OVERFLOW, , , , , 7071, s_mult[261], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 3093, s_mult[25], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 3368, s_mult[37], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 3623, s_mult[72], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 3818, s_mult[121], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 3876, s_mult[145], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 4081, s_mult[33], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 4355, s_mult[49], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 4611, s_mult[64], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 4778, s_mult[113], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 4864, s_mult[129], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 5069, s_mult[41], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 5343, s_mult[61], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 5598, s_mult[80], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 5766, s_mult[61], , ,, , 
Operador_arvore_somas_unsigned_OVERFLOW, , , , , 5851, s_mult[201], , ,, , 
